epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.266,2.34289,8.3811,1.23589,0.98098,0.08333,0.20347,0.07907,2.22089,4.00799,1.12631,0.000549352,0.000549352,0.000549352
2,34.474,2.19577,5.31712,1.19877,0.85812,0.20833,0.22858,0.09668,2.3389,3.16061,1.10408,0.00109043,0.00109043,0.00109043
3,48.4069,2.25241,4.58503,1.2336,0.3416,0.29167,0.29612,0.10777,2.47672,4.40441,1.14184,0.00161684,0.00161684,0.00161684
4,62.4249,2.22974,3.50062,1.21935,0.42383,0.35417,0.38464,0.14492,2.19123,1.73736,1.02189,0.00160099,0.00160099,0.00160099
5,75.7607,2.17571,2.94104,1.19307,0.71518,0.45417,0.53591,0.16861,2.1838,1.58511,1.04671,0.00157898,0.00157898,0.00157898
6,89.6725,2.1314,2.48206,1.16395,0.75227,0.63967,0.61341,0.20972,2.15923,1.28772,1.09283,0.00155698,0.00155698,0.00155698
7,103.21,2.08095,2.20386,1.14267,0.2856,0.61667,0.53328,0.25826,1.97753,1.528,0.9941,0.00153497,0.00153497,0.00153497
8,117.048,2.0181,1.98241,1.13577,0.62312,0.73333,0.59368,0.22981,2.30088,1.31307,1.03276,0.00151297,0.00151297,0.00151297
9,130.656,2.0169,1.79947,1.12792,0.79917,0.64982,0.74393,0.33608,2.0375,1.28084,1.0292,0.00149096,0.00149096,0.00149096
10,143.799,1.95079,1.65726,1.06462,0.79018,0.72104,0.81415,0.32632,2.03508,1.14037,1.0161,0.00146896,0.00146896,0.00146896
11,157.31,2.00826,1.63288,1.10049,0.94369,0.32853,0.43246,0.17285,2.29292,1.35897,1.08181,0.00144696,0.00144696,0.00144696
12,171.329,1.94856,1.5722,1.05593,0.79981,0.65417,0.64276,0.25471,2.05662,1.05811,1.01579,0.00142495,0.00142495,0.00142495
13,185.14,1.92764,1.53359,1.12352,0.63891,0.775,0.64324,0.267,1.8377,1.08294,1.00216,0.00140295,0.00140295,0.00140295
14,198.87,1.92027,1.44997,1.06827,0.65869,0.59167,0.62529,0.28891,1.9278,1.20544,1.01201,0.00138094,0.00138094,0.00138094
15,213.065,1.90868,1.51462,1.05578,0.98691,0.35417,0.41012,0.17945,1.86808,1.26392,1.0348,0.00135894,0.00135894,0.00135894
16,227.948,1.89671,1.41182,1.06506,0.47623,0.49583,0.71533,0.19798,2.05977,1.20589,1.03508,0.00133693,0.00133693,0.00133693
17,242.69,1.85452,1.3045,1.04814,0.65272,0.63333,0.69192,0.26191,2.11121,1.16342,1.05976,0.00131493,0.00131493,0.00131493
18,256.744,1.77521,1.3174,1.06141,0.84824,0.85373,0.87575,0.34011,1.81799,1.10202,0.97156,0.00129293,0.00129293,0.00129293
19,270.428,1.79122,1.26072,1.06933,0.72034,0.72716,0.71158,0.32099,1.67159,1.048,0.95977,0.00127092,0.00127092,0.00127092
20,283.998,1.77486,1.23431,1.06323,0.89916,0.81498,0.84461,0.33731,1.82885,0.97196,1.01129,0.00124892,0.00124892,0.00124892
21,298.316,1.71868,1.16813,1.03301,0.93238,0.71108,0.83417,0.33524,1.91259,1.05326,1.02339,0.00122691,0.00122691,0.00122691
22,312.157,1.76612,1.1893,1.03961,0.65803,0.53333,0.78961,0.30401,1.84473,1.11299,0.99419,0.00120491,0.00120491,0.00120491
23,326.166,1.72253,1.14409,1.03034,0.71568,0.59583,0.71164,0.29908,1.82672,1.09631,1.00893,0.0011829,0.0011829,0.0011829
24,339.646,1.73702,1.14385,1.02261,0.59753,0.6125,0.63442,0.32589,1.79651,1.02934,0.9742,0.0011609,0.0011609,0.0011609
25,354.089,1.63748,1.07498,0.99991,0.68016,0.75417,0.72484,0.35114,1.80499,0.97693,0.97948,0.00113889,0.00113889,0.00113889
