epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8669,2.34289,8.3811,1.23589,0.98098,0.08333,0.20347,0.07907,2.22089,4.00799,1.12631,0.000549352,0.000549352,0.000549352
2,32.2906,2.23935,5.52842,1.2081,0.5523,0.1875,0.03726,0.01515,2.24282,4.9883,1.10057,0.00108314,0.00108314,0.00108314
3,46.6237,2.23291,4.61031,1.20656,0.36531,0.25,0.28226,0.0899,2.52217,4.32902,1.20443,0.00159492,0.00159492,0.00159492
4,60.4056,2.21379,3.43485,1.18358,0.92049,0.3125,0.33483,0.1174,2.07056,2.09983,1.02008,0.00156798,0.00156798,0.00156798
5,74.0423,2.19832,3.11158,1.19595,0.83344,0.33333,0.48613,0.18153,1.98252,1.44524,1.04443,0.00153497,0.00153497,0.00153497
6,87.7184,2.11491,2.51746,1.15062,0.37222,0.63084,0.42859,0.15845,2.2996,1.58629,1.0767,0.00150197,0.00150197,0.00150197
7,101.326,2.09088,2.28746,1.13026,0.47238,0.5125,0.49764,0.20926,2.05242,1.19008,1.05531,0.00146896,0.00146896,0.00146896
8,115.154,2.03816,1.95998,1.14265,0.58334,0.63333,0.53969,0.19882,2.15446,1.27864,0.99003,0.00143595,0.00143595,0.00143595
9,129.213,1.95811,1.81554,1.11858,0.68433,0.6125,0.54257,0.21429,2.10176,1.2869,1.00849,0.00140295,0.00140295,0.00140295
10,142.725,1.94713,1.7162,1.06797,0.73175,0.75338,0.79231,0.32694,1.92425,1.21094,0.98277,0.00136994,0.00136994,0.00136994
11,156.742,1.94113,1.65092,1.08552,0.68376,0.7125,0.6866,0.26797,2.02473,1.24856,1.01576,0.00133693,0.00133693,0.00133693
12,170.23,1.95172,1.587,1.07028,0.36888,0.38835,0.40467,0.15915,2.0728,1.26505,1.02144,0.00130393,0.00130393,0.00130393
13,184.729,1.92335,1.49987,1.08869,0.7748,0.75417,0.80943,0.28797,1.90865,1.13719,0.99363,0.00127092,0.00127092,0.00127092
14,198.82,1.90922,1.46302,1.05147,0.57467,0.61081,0.59033,0.24019,2.17455,1.13527,1.05322,0.00123791,0.00123791,0.00123791
